Purpose,Period,AccessMode,SegID,LinkID,Direction,IB_OB,N,Mode,Name,LongName,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,0198_009.1,65645_65672,NB,IB,  65645.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0198_009.5,65672_65687,NB,IB,  65672.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.11,      0.11,         0,         0,         0,         0,         0
All,ok,drive,0198_009.9,65695_71302,NB,IB,  65695.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0198_011.81,65983_66043,NB,IB,  65983.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0198_011.81,66043_66061,NB,IB,  66043.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.08,      0.08,         0,         0,         0,         0,         0
All,ok,drive,0156_000.0,66061_66102,NB,IB,  66061.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0
All,ok,drive,3062_000.3,66109_66110,WB,IB,  66109.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,         0,         0,         0,         0,         0,      0.01
All,ok,drive,3062_000.0,66111_66112,WB,IB,  66111.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.17,      0.04,         0,      0.01,         0,         0,      0.12
All,ok,drive,2837_000.4,66133_66142,NB,IB,  66133.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,2837_000.7,66192_66206,NB,IB,  66192.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,     13.76,     13.76,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
All,ok,drive,0006_173.4,66253_63169,NB,IB,  66253.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.13,      0.13,         0,         0,         0,         0,         0
All,ok,drive,0189_000.6,66790_71488,NB,IB,  66790.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.51,      1.51,         0,         0,         0,         0,         0
All,ok,drive,,66841_50024,NB,IB,  50024.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,     10.56,     10.56,         0,         0,         0,         0,         0
All,ok,drive,0198_005.3,71090_65509,EB,IB,  71090.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,,50024_66841,SB,OB,  50024.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,      4.93,      1.18,         0,      0.14,         0,         0,      3.61,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0178_001.0,65398_65399,WB,OB,  65398.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0178_000.0,65400_65401,WB,OB,  65400.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0198_004.4,65433_65414,SB,OB,  65433.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0
All,ok,drive,0198_005.0,65494_71081,SB,OB,  65494.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0198_005.4,65506_65508,WB,OB,  65506.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0198_005.9,65507_65505,WB,OB,  65507.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0
All,ok,drive,0198_005.4,65508_65509,WB,OB,  65508.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0198_006.3,65524_71157,WB,OB,  65524.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.15,      0.15,         0,         0,         0,         0,         0
All,ok,drive,0198_006.3,65531_65524,WB,OB,  65531.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0198_007.6,65566_65556,WB,OB,  65566.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,0198_007.6,65624_65603,WB,OB,  65624.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.15,      0.13,         0,         0,         0,         0,      0.02
All,ok,drive,0198_008.9,65645_65631,SB,OB,  65645.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,0198_009.1,65672_65645,SB,OB,  65672.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.33,      0.26,         0,      0.01,         0,         0,      0.06
All,ok,drive,0198_009.5,65695_65687,SB,OB,  65695.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0198_011.5,65983_65953,SB,OB,  65983.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.05,         0,         0,         0,         0,      0.01
All,ok,drive,0198_011.81,66043_65983,SB,OB,  66043.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.19,      0.08,         0,         0,         0,         0,      0.11
All,ok,drive,0198_011.81,66061_66043,SB,OB,  66061.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.07,      0.07,         0,         0,         0,         0,         0
All,ok,drive,0156_000.0,66102_66061,SB,OB,  66102.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.11,         0,         0,         0,         0,         0,      0.11
All,ok,drive,3062_000.6,66109_66108,EB,OB,  66109.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,3062_000.3,66111_66110,EB,OB,  66111.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0
All,ok,drive,3062_000.0,66112_66111,EB,OB,  66112.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.10,      0.05,         0,         0,         0,         0,      0.05
All,ok,drive,2837_000.4,66133_66108,SB,OB,  66133.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.01,         0,         0,         0,         0,      0.04
All,ok,drive,2837_000.7,66192_66142,SB,OB,  66192.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,      1.18,      1.18,         0,         0,         0,         0,         0,      0.21,      0.05,         0,      0.01,         0,         0,      0.15
All,ok,drive,0006_173.7,66253_66214,SB,OB,  66253.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.12,      0.24,         0,      0.04,         0,         0,      0.84
All,ok,drive,0189_000.6,66790_66769,SB,OB,  66790.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.07,      0.07,         0,         0,         0,         0,         0
All,ok,drive,3014_001.4,66825_66826,WB,OB,  66825.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.56,      1.56,         0,         0,         0,         0,         0
All,ok,drive,0198_005.3,71090_65494,SB,OB,  71090.00,      4.00,M821_5YR2023,M821_5YR2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,2987_000.6,66493_66525,NB,IB,  66493.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,      0.02,      0.02,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3080_000.0,66515_66516,WB,IB,  66515.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.01,         0,         0,         0,         0,      0.03
All,ok,drive,3080_000.0,66516_66517,WB,IB,  66516.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.24,      0.05,         0,      0.01,         0,         0,      0.18
All,ok,drive,0077_008.5,66517_66518,WB,IB,  66517.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,      0.62,      0.62,         0,         0,         0,         0,         0,      0.12,      0.09,         0,         0,         0,         0,      0.03
All,ok,drive,0077_007.9,66521_71460,WB,IB,  66521.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.21,      0.04,         0,         0,         0,         0,      0.17
All,ok,drive,0089_328.8,66636_66647,NB,IB,  66636.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0
All,ok,drive,0089_328.8,66647_66681,NB,IB,  66647.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
All,ok,drive,0089_329.8,66681_66689,NB,IB,  66681.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.11,      0.11,         0,         0,         0,         0,         0
All,ok,drive,0089_329.8,66707_66712,NB,IB,  66707.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.20,      0.20,         0,         0,         0,         0,         0
All,ok,drive,0089_329.8,66717_66720,NB,IB,  66717.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.07,      0.07,         0,         0,         0,         0,         0
All,ok,drive,0089_331.1,66725_66730,WB,IB,  66725.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.10,      0.10,         0,         0,         0,         0,         0
All,ok,drive,0089_331.7,66737_66752,NB,IB,  66737.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0
All,ok,drive,0089_331.7,66781_66801,NB,IB,  66781.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.13,      0.13,         0,         0,         0,         0,         0
All,ok,drive,0089_331.7,66801_66834,NB,IB,  66801.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.16,      0.16,         0,         0,         0,         0,         0
All,ok,drive,,66841_50024,NB,IB,  50024.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.65,      0.65,         0,         0,         0,         0,         0
All,ok,drive,0089_333.5,66887_66889,WB,IB,  66887.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.21,      0.21,         0,         0,         0,         0,         0
All,ok,drive,0089_333.5,66889_71511,WB,IB,  66889.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.12,      0.12,         0,         0,         0,         0,         0
All,ok,drive,0089_333.5,66890_71505,WB,IB,  66890.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      3.03,      3.03,         0,         0,         0,         0,         0
All,ok,drive,0089_333.5,66893_71505,EB,IB,  66893.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,      0.01,         0,         0,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,,50024_66841,SB,OB,  50024.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,      5.51,      1.05,         0,      0.12,         0,         0,      4.34,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3080_000.0,66517_66516,EB,OB,  66517.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,     14.45,     14.45,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0077_007.9,66521_66520,EB,OB,  66521.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,2987_000.6,66525_66493,SB,OB,  66493.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.61,      0.61,         0,         0,         0,         0,         0
All,ok,drive,3084_000.9,66540_66515,SB,OB,  66540.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.41,      0.09,         0,      0.01,         0,         0,      0.31
All,ok,drive,3084_001.3,66582_66560,SB,OB,  66582.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.01,         0,         0,         0,         0,      0.03
All,ok,drive,3086_000.4,66599_66600,EB,OB,  66599.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.10,      0.02,         0,         0,         0,         0,      0.08
All,ok,drive,3084_001.3,66600_66582,SB,OB,  66600.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,         0,         0,         0,         0,         0,      0.01
All,ok,drive,3086_000.4,66603_66599,EB,OB,  66603.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.25,      0.01,         0,      0.01,         0,         0,      0.23
All,ok,drive,0089_328.8,66636_66603,SB,OB,  66636.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.44,      0.09,         0,      0.01,         0,         0,      0.34
All,ok,drive,0089_328.8,66681_66647,SB,OB,  66681.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.76,      0.16,         0,      0.02,         0,         0,      0.58
All,ok,drive,0089_329.8,66707_66697,SB,OB,  66707.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.70,      0.16,         0,      0.01,         0,         0,      0.53
All,ok,drive,0089_331.1,66725_66720,EB,OB,  66725.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.71,      0.15,         0,      0.01,         0,         0,      0.55
All,ok,drive,0089_331.1,66737_66730,SB,OB,  66737.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,         0,         0,         0,         0,         0,      0.01
All,ok,drive,0089_331.7,66781_66752,SB,OB,  66781.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.99,      0.13,         0,      0.02,         0,         0,      0.84
All,ok,drive,0089_331.7,66801_66781,SB,OB,  66801.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.37,      0.04,         0,         0,         0,         0,      0.33
All,ok,drive,0189_001.1,66837_66825,SB,OB,  66837.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.96,      0.96,         0,         0,         0,         0,         0
All,ok,drive,0089_333.5,66887_66886,EB,OB,  66887.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.01,         0,      0.01,         0,         0,         0
All,ok,drive,0089_333.5,66889_66887,EB,OB,  66889.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.08,         0,         0,         0,         0,         0,      0.08
All,ok,drive,0089_333.5,66890_71511,EB,OB,  66890.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0189_001.4,66893_66882,SB,OB,  66893.00,      4.00,M823_5RY2023,M823_5RY2023,     30.00,         0,         0,         0,         0,         0,         0,         0,      8.56,      8.56,         0,         0,         0,         0,         0
All,ok,drive,0189_001.1,66825_66837,NB,IB,  66825.00,      4.00,M831_WPr,M831_WPr,     30.00,      0.16,      0.16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,,66841_50024,NB,IB,  50024.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.05,         0,         0,         0,         0,         0
All,ok,drive,3020_000.3,66885_66928,NB,IB,  66885.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.84,      0.05,         0,      0.02,         0,         0,      0.77
All,ok,drive,0089_333.5,66886_66887,WB,IB,  66886.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0089_333.5,66889_71511,WB,IB,  66889.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0089_333.5,66890_71505,WB,IB,  66890.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.17,      0.17,         0,         0,         0,         0,         0
All,ok,drive,0089_333.5,66893_71505,EB,IB,  66893.00,      4.00,M831_WPr,M831_WPr,     30.00,      0.01,         0,         0,      0.01,         0,         0,         0,      0.16,      0.16,         0,         0,         0,         0,         0
All,ok,drive,3020_000.3,66928_66930,NB,IB,  66928.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,3020_000.6,66973_66978,NB,IB,  66973.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.07,         0,         0,         0,         0,         0,      0.07
All,ok,drive,3020_000.6,66978_66997,NB,IB,  66978.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.31,         0,         0,         0,         0,         0,      0.31
All,ok,drive,3020_000.6,66997_67020,NB,IB,  66997.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.05,      0.03,         0,         0,         0,         0,      0.02
All,ok,drive,3020_000.6,67020_67038,NB,IB,  67020.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,3030_000.0,67058_67059,WB,IB,  67058.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.08,      0.08,         0,         0,         0,         0,         0
All,ok,drive,3030_000.0,67061_71553,EB,IB,  67061.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.09,      0.09,         0,         0,         0,         0,         0
All,ok,drive,3032_001.0,67090_67092,WB,IB,  67090.00,      4.00,M831_WPr,M831_WPr,     30.00,      0.64,      0.64,         0,         0,         0,         0,         0,      2.54,      2.54,         0,         0,         0,         0,         0
All,ok,drive,0189_002.9,67105_67114,NB,IB,  67105.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0189_003.1,67155_67175,NB,IB,  67155.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.04,         0,         0,         0,         0,         0
All,ok,drive,3012_000.5,67157_67156,EB,IB,  67157.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,3012_000.0,67161_67160,EB,IB,  67161.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.01,         0,      0.01,         0,         0,         0
All,ok,drive,3012_001.3,67192_67195,EB,IB,  67192.00,      4.00,M831_WPr,M831_WPr,     30.00,      0.06,      0.06,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0
All,ok,drive,2972_000.0,67203_67186,SB,IB,  67203.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,         0,         0,      0.02,         0,         0,         0
All,ok,drive,3012_001.5,67230_67198,SB,IB,  67230.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.08,      0.08,         0,         0,         0,         0,         0
All,ok,drive,3042_002.5,67244_67211,SB,IB,  67244.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.06,      0.06,         0,         0,         0,         0,         0
All,ok,drive,2972_001.0,67380_67365,SB,IB,  67380.00,      4.00,M831_WPr,M831_WPr,     30.00,      0.49,      0.46,         0,      0.03,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,UTA_7612,67456_67437,SB,IB,  67456.00,      4.00,M831_WPr,M831_WPr,     30.00,      0.01,      0.01,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,,50024_66841,SB,OB,  50024.00,      4.00,M831_WPr,M831_WPr,     30.00,      5.22,      3.12,         0,         0,         0,         0,      2.10,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,3014_001.4,66825_66826,WB,OB,  66825.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.19,      0.19,         0,         0,         0,         0,         0
All,ok,drive,0189_001.1,66874_66837,SB,OB,  66874.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.18,      0.18,         0,         0,         0,         0,         0
All,ok,drive,2999_003.8,66886_66885,EB,OB,  66886.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.85,         0,         0,         0,         0,         0,      0.85
All,ok,drive,0089_333.5,66887_66886,EB,OB,  66887.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.01,         0,      0.01,         0,         0,         0
All,ok,drive,0089_333.5,66889_66887,EB,OB,  66889.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.08,         0,         0,         0,         0,         0,      0.08
All,ok,drive,0089_333.5,66890_71511,EB,OB,  66890.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,0189_001.4,66893_66882,SB,OB,  66893.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.61,      0.61,         0,         0,         0,         0,         0
All,ok,drive,3020_000.3,66928_66885,SB,OB,  66928.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.01,         0,      0.01,         0,         0,         0
All,ok,drive,3020_000.3,66930_66928,SB,OB,  66930.00,      4.00,M831_WPr,M831_WPr,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
